"id","name","initials","avatar_color","created_at"
"185ba121-361a-4410-a6b8-bf8c0b8d5ec8","Ashish","A","green","""2025-08-22T13:00:20.876Z"""
"b0d98c0c-f9df-4424-80e0-69e7771adf78","Gagan","G","blue","""2025-08-22T13:00:20.876Z"""
"44cbcab6-184a-4850-8f47-2c9a8abb4144","He-man","H","purple","""2025-08-22T13:00:20.876Z"""
"d48a1ba2-db24-460e-9898-4181128746a3","Kaushal","K","yellow","""2025-08-22T13:00:20.876Z"""
"f8256294-c360-4330-8187-9e0f97ee92fe","Main hoon na","MH","pink","""2025-08-22T13:00:20.876Z"""
"23c19d66-7640-4b3b-a90a-64ac004f4240","Aswini","AS","indigo","""2025-08-22T13:00:20.876Z"""
"1da2fbce-f542-4f3e-996f-6b0c4e1d2640","Rahul","R","orange","""2025-08-22T13:00:20.876Z"""
"05da5d42-eb70-4c2c-86f3-e78c1d349d7d","RK","RK","red","""2025-08-22T13:00:20.876Z"""
"65832075-2c16-4364-a0dd-3943d4e3a7c3","Anjali","AN","teal","""2025-08-22T13:00:20.876Z"""
"fc395f20-2d7e-4d87-9fc8-1ddf702e5800","Kumar","KU","cyan","""2025-08-22T13:00:20.876Z"""
